location_name,location_type,code,parent_code,island_group
Region I (Ilocos Region),Region,01,,Luzon
Region II (Cagayan Valley),Region,02,,Luzon
Region III (Central Luzon),Region,03,,Luzon
Region IV-A (CALABARZON),Region,04,,Luzon
MIMAROPA Region,Region,17,,Luzon
Region V (Bicol Region),Region,05,,Luzon
Region VI (Western Visayas),Region,06,,Visayas
Region VII (Central Visayas),Region,07,,Visayas
Region VIII (Eastern Visayas),Region,08,,Visayas
Region IX (Zamboanga Peninsula),Region,09,,Mindanao
Region X (Northern Mindanao),Region,10,,Mindanao
Region XI (Davao Region),Region,11,,Mindanao
Region XII (SOCCSKSARGEN),Region,12,,Mindanao
National Capital Region (NCR),Region,13,,Luzon
Cordillera Administrative Region (CAR),Region,14,,Luzon
Region XIII (Caraga),Region,16,,Mindanao
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Region,19,,Mindanao
Ilocos Norte,Province,028,01,Luzon
Ilocos Sur,Province,029,01,Luzon
La Union,Province,033,01,Luzon
Pangasinan,Province,055,01,Luzon
Batanes,Province,009,02,Luzon
Cagayan,Province,015,02,Luzon
Isabela,Province,031,02,Luzon
Nueva Vizcaya,Province,050,02,Luzon
Quirino,Province,057,02,Luzon
Bataan,Province,008,03,Luzon
Bulacan,Province,014,03,Luzon
Nueva Ecija,Province,049,03,Luzon
Pampanga,Province,054,03,Luzon
Tarlac,Province,069,03,Luzon
Zambales,Province,071,03,Luzon
Aurora,Province,077,03,Luzon
Batangas,Province,010,04,Luzon
Cavite,Province,021,04,Luzon
Laguna,Province,034,04,Luzon
Quezon,Province,056,04,Luzon
Rizal,Province,058,04,Luzon
Marinduque,Province,040,17,Luzon
Occidental Mindoro,Province,051,17,Luzon
Oriental Mindoro,Province,052,17,Luzon
Palawan,Province,053,17,Luzon
Romblon,Province,059,17,Luzon
Albay,Province,005,05,Luzon
Camarines Norte,Province,016,05,Luzon
Camarines Sur,Province,017,05,Luzon
Catanduanes,Province,020,05,Luzon
Masbate,Province,041,05,Luzon
